week,home_team,away_team,temperature,gust,precipitation,home_team_score,away_team_score,indoor,neutral_site,country,city,state,date
1,LAR,BUF,,,,10,31,True,False,USA,Inglewood,CA,2022-09-09T00:20Z
1,ATL,NO,,,,26,27,True,False,USA,Atlanta,GA,2022-09-11T17:00Z
1,CHI,SF,69,10,0.0,19,10,False,False,USA,Chicago,IL,2022-09-11T17:00Z
1,CIN,PIT,76,19,0.0,20,23,False,False,USA,Cincinnati,OH,2022-09-11T17:00Z
1,DET,PHI,,,,35,38,True,False,USA,Detroit,MI,2022-09-11T17:00Z
1,MIA,NE,87,18,0.08,20,7,False,False,USA,Miami Gardens,FL,2022-09-11T17:00Z
1,NYJ,BAL,72,6,0.05,9,24,False,False,USA,East Rutherford,NJ,2022-09-11T17:00Z
1,WSH,JAX,78,18,0.0,28,22,False,False,USA,Landover,MD,2022-09-11T17:00Z
1,CAR,CLE,83,17,0.0,24,26,False,False,USA,Charlotte,NC,2022-09-11T17:00Z
1,HOU,IND,,,,20,20,True,False,USA,Houston,TX,2022-09-11T17:00Z
1,TEN,NYG,75,15,0.0,20,21,False,False,USA,Nashville,TN,2022-09-11T20:25Z
1,MIN,GB,,,,23,7,True,False,USA,Minneapolis,MN,2022-09-11T20:25Z
1,ARI,KC,,,,21,44,True,False,USA,Glendale,AZ,2022-09-11T20:25Z
1,LAC,LV,,,,24,19,True,False,USA,Inglewood,CA,2022-09-11T20:25Z
1,DAL,TB,,,,3,19,True,False,USA,Arlington,TX,2022-09-12T00:20Z
1,SEA,DEN,67,17,0.0,17,16,False,False,USA,Seattle,WA,2022-09-13T00:15Z
2,KC,LAC,77,13,0.0,27,24,False,False,USA,Kansas City,MO,2022-09-16T00:15Z
2,CLE,NYJ,80,21,0.0,30,31,False,False,USA,Cleveland,OH,2022-09-18T17:00Z
2,DET,WSH,,,,36,27,True,False,USA,Detroit,MI,2022-09-18T17:00Z
2,NO,TB,,,,10,20,True,False,USA,New Orleans,LA,2022-09-18T17:00Z
2,NYG,CAR,83,23,0.0,19,16,False,False,USA,East Rutherford,NJ,2022-09-18T17:00Z
2,PIT,NE,81,23,0.0,14,17,False,False,USA,Pittsburgh,PA,2022-09-18T17:00Z
2,JAX,IND,81,19,0.02,24,0,False,False,USA,Jacksonville,FL,2022-09-18T17:00Z
2,BAL,MIA,82,13,0.0,38,42,False,False,USA,Baltimore,MD,2022-09-18T17:00Z
2,LAR,ATL,,,,31,27,True,False,USA,Inglewood,CA,2022-09-18T20:05Z
2,SF,SEA,72,33,0.0,27,7,False,False,USA,Santa Clara,CA,2022-09-18T20:05Z
2,DAL,CIN,,,,20,17,True,False,USA,Arlington,TX,2022-09-18T20:25Z
2,DEN,HOU,87,18,0.0,16,9,False,False,USA,Denver,CO,2022-09-18T20:25Z
2,LV,ARI,,,,23,29,True,False,USA,Las Vegas,NV,2022-09-18T20:25Z
2,GB,CHI,67,10,0.0,27,10,False,False,USA,Green Bay,WI,2022-09-19T00:20Z
2,BUF,TEN,68,28,0.0,41,7,False,False,USA,Orchard Park,NY,2022-09-19T23:15Z
2,PHI,MIN,70,7,0.0,24,7,False,False,USA,Philadelphia,PA,2022-09-20T00:30Z
3,CLE,PIT,53,7,0.0,29,17,False,False,USA,Cleveland,OH,2022-09-23T00:15Z
3,CHI,HOU,68,23,0.0,23,20,False,False,USA,Chicago,IL,2022-09-25T17:00Z
3,TEN,LV,69,28,0.04,24,22,False,False,USA,Nashville,TN,2022-09-25T17:00Z
3,IND,KC,,,,20,17,True,False,USA,Indianapolis,IN,2022-09-25T17:00Z
3,MIA,BUF,89,14,0.0,21,19,False,False,USA,Miami Gardens,FL,2022-09-25T17:00Z
3,MIN,DET,,,,28,24,True,False,USA,Minneapolis,MN,2022-09-25T17:00Z
3,NE,BAL,64,25,0.0,26,37,False,False,USA,Foxborough,MA,2022-09-25T17:00Z
3,NYJ,CIN,69,15,0.0,12,27,False,False,USA,East Rutherford,NJ,2022-09-25T17:00Z
3,WSH,PHI,80,26,0.0,8,24,False,False,USA,Landover,MD,2022-09-25T17:00Z
3,CAR,NO,72,21,0.0,22,14,False,False,USA,Charlotte,NC,2022-09-25T17:00Z
3,LAC,JAX,,,,10,38,True,False,USA,Inglewood,CA,2022-09-25T20:05Z
3,ARI,LAR,,,,12,20,True,False,USA,Glendale,AZ,2022-09-25T20:25Z
3,SEA,ATL,72,20,0.0,23,27,False,False,USA,Seattle,WA,2022-09-25T20:25Z
3,TB,GB,83,14,0.0,12,14,False,False,USA,Tampa,FL,2022-09-25T20:25Z
3,DEN,SF,72,5,0.0,11,10,False,False,USA,Denver,CO,2022-09-26T00:20Z
3,NYG,DAL,57,8,0.0,16,23,False,False,USA,East Rutherford,NJ,2022-09-27T00:15Z
4,CIN,MIA,60,14,0.0,27,15,False,False,USA,Cincinnati,OH,2022-09-30T00:15Z
4,NO,MIN,64,15,0.0,25,28,False,True,England,London,,2022-10-02T13:30Z
4,ATL,CLE,,,,23,20,True,False,USA,Atlanta,GA,2022-10-02T17:00Z
